,Année_construction,Logement,Coût_chauffage,Surface_habitable_logement,Etiquette_DPE,Periode_construction,Coût_total_5_usages,Code_postal_(BAN),Adresse_(BAN)
40,2024.0,neuf,235.6,64.5,C,Après 2010,461.4,69008.0,Boulevard Pinel 69008 Lyon
41,2024.0,neuf,200.7,58.4,C,Après 2010,415.8,69008.0,Boulevard Pinel 69008 Lyon
42,2024.0,neuf,172.6,58.8,C,Après 2010,388.4,69008.0,Boulevard Pinel 69008 Lyon
43,2024.0,neuf,171.7,59.0,C,Après 2010,387.8,69008.0,Boulevard Pinel 69008 Lyon
44,2024.0,neuf,353.3,75.9,C,Après 2010,599.0,69008.0,Boulevard Pinel 69008 Lyon
45,2024.0,neuf,765.5,32.8,E,Après 2010,1323.6,69008.0,Avenue Viviani 69008 Lyon
46,2024.0,neuf,150.4,40.8,C,Après 2010,327.8,69008.0,Boulevard Pinel 69008 Lyon
47,2024.0,neuf,211.7,64.1,C,Après 2010,436.8,69008.0,Boulevard Pinel 69008 Lyon
48,2024.0,neuf,189.5,42.0,C,Après 2010,374.6,69008.0,119 Rue Villon 69008 Lyon
49,2024.0,neuf,212.8,63.0,C,Après 2010,441.7,69008.0,119 Rue Villon 69008 Lyon
50,2024.0,neuf,426.4,77.6,C,Après 2010,681.3,69008.0,119 Rue Villon 69008 Lyon
51,2024.0,neuf,229.0,42.1,C,Après 2010,414.4,69008.0,119 Rue Villon 69008 Lyon
52,2024.0,neuf,213.2,42.0,C,Après 2010,398.4,69008.0,119 Rue Villon 69008 Lyon
53,2024.0,neuf,11186.0,2242.7,C,Après 2010,19962.0,69008.0,119 Rue Villon 69008 Lyon
54,2024.0,neuf,172.3,42.0,C,Après 2010,357.4,69008.0,119 Rue Villon 69008 Lyon
55,2024.0,neuf,146.3,38.1,C,Après 2010,321.5,69008.0,119 Rue Villon 69008 Lyon
56,2024.0,neuf,196.8,42.7,C,Après 2010,383.6,69008.0,119 Rue Villon 69008 Lyon
57,2024.0,neuf,318.4,60.3,C,Après 2010,542.5,69008.0,119 Rue Villon 69008 Lyon
58,2024.0,neuf,215.6,44.2,C,Après 2010,406.4,69008.0,119 Rue Villon 69008 Lyon
59,2024.0,neuf,258.7,63.3,C,Après 2010,488.1,69008.0,119 Rue Villon 69008 Lyon
60,2024.0,neuf,209.2,63.3,C,Après 2010,438.5,69008.0,119 Rue Villon 69008 Lyon
61,2024.0,neuf,571.9,92.8,C,Après 2010,853.9,69008.0,119 Rue Villon 69008 Lyon
62,2024.0,neuf,262.5,63.0,C,Après 2010,491.3,69008.0,119 Rue Villon 69008 Lyon
63,2024.0,neuf,523.8,89.9,C,Après 2010,800.7,69008.0,119 Rue Villon 69008 Lyon
64,2024.0,neuf,335.4,60.3,C,Après 2010,559.5,69008.0,119 Rue Villon 69008 Lyon
65,2024.0,neuf,242.9,60.7,C,Après 2010,467.7,69008.0,119 Rue Villon 69008 Lyon
66,2024.0,neuf,518.4,100.2,C,Après 2010,813.7,69008.0,119 Rue Villon 69008 Lyon
67,2024.0,neuf,301.1,60.4,C,Après 2010,525.3,69008.0,119 Rue Villon 69008 Lyon
69,2024.0,neuf,265.9,63.0,C,Après 2010,494.7,69008.0,119 Rue Villon 69008 Lyon
71,2024.0,neuf,207.7,42.0,C,Après 2010,392.8,69008.0,119 Rue Villon 69008 Lyon
72,2024.0,neuf,212.6,63.0,C,Après 2010,441.5,69008.0,119 Rue Villon 69008 Lyon
73,2024.0,neuf,223.3,63.3,C,Après 2010,452.7,69008.0,119 Rue Villon 69008 Lyon
74,2024.0,neuf,209.2,63.3,C,Après 2010,438.5,69008.0,119 Rue Villon 69008 Lyon
75,2024.0,neuf,406.3,68.5,C,Après 2010,645.1,69008.0,119 Rue Villon 69008 Lyon
76,2024.0,neuf,190.1,44.2,C,Après 2010,380.8,69008.0,119 Rue Villon 69008 Lyon
77,2024.0,neuf,292.3,60.3,C,Après 2010,516.3,69008.0,119 Rue Villon 69008 Lyon
78,2024.0,neuf,189.5,42.0,C,Après 2010,374.6,69008.0,119 Rue Villon 69008 Lyon
80,2024.0,neuf,346.3,60.4,C,Après 2010,570.4,69008.0,119 Rue Villon 69008 Lyon
81,2024.0,neuf,799.8,126.1,C,Après 2010,1141.4,69008.0,119 Rue Villon 69008 Lyon
82,2024.0,neuf,551.5,90.8,C,Après 2010,830.0,69008.0,119 Rue Villon 69008 Lyon
83,2024.0,neuf,133.5,38.1,C,Après 2010,308.6,69008.0,119 Rue Villon 69008 Lyon
84,2024.0,neuf,212.9,42.7,C,Après 2010,399.7,69008.0,119 Rue Villon 69008 Lyon
85,2024.0,neuf,185.6,42.0,C,Après 2010,370.7,69008.0,119 Rue Villon 69008 Lyon
86,2024.0,neuf,491.2,66.5,C,Après 2010,726.3,69008.0,119 Rue Villon 69008 Lyon
87,2024.0,neuf,196.8,42.7,C,Après 2010,383.6,69008.0,119 Rue Villon 69008 Lyon
88,2024.0,neuf,189.5,44.0,C,Après 2010,379.8,69008.0,119 Rue Villon 69008 Lyon
89,2024.0,neuf,337.9,32.0,D,Après 2010,954.4,69008.0,119 Rue Villon 69008 Lyon
90,2024.0,neuf,54.8,22.9,C,Après 2010,505.0,69008.0,Rue de la Moselle 69008 Lyon
91,2024.0,neuf,62.3,22.9,C,Après 2010,512.5,69008.0,Rue de la Moselle 69008 Lyon
92,2024.0,neuf,54.8,22.9,C,Après 2010,505.0,69008.0,Rue de la Moselle 69008 Lyon
93,2024.0,neuf,155.6,43.2,C,Après 2010,738.8,69008.0,Rue de la Moselle 69008 Lyon
94,2024.0,neuf,67.9,22.8,C,Après 2010,517.3,69008.0,Rue de la Moselle 69008 Lyon
95,2024.0,neuf,251.0,86.8,C,Après 2010,548.5,69008.0,Rue de la Moselle 69008 Lyon
96,2024.0,neuf,344.1,63.6,C,Après 2010,598.1,69008.0,Rue de la Moselle 69008 Lyon
97,2024.0,neuf,291.7,86.6,C,Après 2010,588.8,69008.0,Rue de la Moselle 69008 Lyon
98,2024.0,neuf,254.1,83.0,C,Après 2010,546.9,69008.0,Rue de la Moselle 69008 Lyon
99,2024.0,neuf,217.0,63.4,C,Après 2010,472.4,69008.0,Rue de la Moselle 69008 Lyon
100,2024.0,neuf,250.7,60.2,C,Après 2010,498.3,69008.0,Rue de la Moselle 69008 Lyon
101,2024.0,neuf,217.0,63.4,C,Après 2010,472.4,69008.0,Rue de la Moselle 69008 Lyon
102,2024.0,neuf,251.7,63.2,C,Après 2010,506.7,69008.0,Rue de la Moselle 69008 Lyon
103,2024.0,neuf,550.4,78.1,C,Après 2010,833.8,69008.0,Rue de la Moselle 69008 Lyon
104,2024.0,neuf,143.9,42.0,C,Après 2010,350.2,69008.0,Rue de la Moselle 69008 Lyon
105,2024.0,neuf,351.7,76.6,C,Après 2010,632.2,69008.0,Rue de la Moselle 69008 Lyon
106,2024.0,neuf,609.6,100.5,C,Après 2010,932.8,69008.0,Rue de la Moselle 69008 Lyon
107,2024.0,neuf,258.5,63.4,C,Après 2010,513.8,69008.0,Rue de la Moselle 69008 Lyon
108,2024.0,neuf,250.7,60.2,C,Après 2010,498.3,69008.0,Rue de la Moselle 69008 Lyon
109,2024.0,neuf,254.1,83.0,C,Après 2010,546.9,69008.0,Rue de la Moselle 69008 Lyon
110,2024.0,neuf,302.1,82.6,C,Après 2010,594.1,69008.0,Rue de la Moselle 69008 Lyon
111,2024.0,neuf,113.6,42.8,C,Après 2010,694.0,69008.0,Rue de la Moselle 69008 Lyon
112,2024.0,neuf,289.1,60.0,C,Après 2010,536.3,69008.0,Rue de la Moselle 69008 Lyon
113,2024.0,neuf,308.4,83.0,C,Après 2010,601.2,69008.0,Rue de la Moselle 69008 Lyon
114,2024.0,neuf,29.3,27.1,C,Après 2010,431.6,69008.0,170 Route de Vienne 69008 Lyon
115,2024.0,neuf,42.3,39.2,C,Après 2010,635.7,69008.0,28 Rue du Puisard 69008 Lyon
116,2024.0,neuf,273.9,48.0,C,Après 2010,506.3,69008.0,26 Rue du Puisard 69008 Lyon
117,2024.0,neuf,188.1,42.3,C,Après 2010,409.4,69008.0,28 Rue du Puisard 69008 Lyon
118,2024.0,neuf,244.0,79.4,C,Après 2010,516.7,69008.0,176 Route de Vienne 69008 Lyon
119,2024.0,neuf,167.5,46.7,C,Après 2010,344.8,69008.0,170 Route de Vienne 69008 Lyon
120,2024.0,neuf,223.0,42.3,C,Après 2010,444.2,69008.0,28 Rue du Puisard 69008 Lyon
121,2024.0,neuf,752.4,110.8,C,Après 2010,1125.6,69008.0,28 Rue du Puisard 69008 Lyon
122,2024.0,neuf,248.2,62.9,C,Après 2010,476.9,69008.0,180 Route de Vienne 69008 Lyon
123,2024.0,neuf,194.4,42.3,C,Après 2010,415.7,69008.0,28 Rue du Puisard 69008 Lyon
124,2024.0,neuf,201.6,40.5,C,Après 2010,393.3,69008.0,178 Route de Vienne 69008 Lyon
125,2024.0,neuf,244.0,79.4,C,Après 2010,516.7,69008.0,176 Route de Vienne 69008 Lyon
126,2024.0,neuf,3092.0,920.1,C,Après 2010,6502.0,69008.0,176 Route de Vienne 69008 Lyon
127,2024.0,neuf,188.1,42.3,C,Après 2010,409.4,69008.0,28 Rue du Puisard 69008 Lyon
128,2024.0,neuf,160.9,47.0,C,Après 2010,338.8,69008.0,170 Route de Vienne 69008 Lyon
129,2024.0,neuf,359.3,100.8,C,Après 2010,672.3,69008.0,178 Route de Vienne 69008 Lyon
130,2024.0,neuf,182.2,62.9,C,Après 2010,410.9,69008.0,180 Route de Vienne 69008 Lyon
131,2024.0,neuf,182.2,62.9,C,Après 2010,410.9,69008.0,176 Route de Vienne 69008 Lyon
132,2024.0,neuf,482.2,102.8,C,Après 2010,838.4,69008.0,28 Rue du Puisard 69008 Lyon
133,2024.0,neuf,183.9,62.9,C,Après 2010,412.6,69008.0,180 Route de Vienne 69008 Lyon
134,2024.0,neuf,133.4,41.4,C,Après 2010,298.1,69008.0,170 Route de Vienne 69008 Lyon
135,2024.0,neuf,224.2,43.8,C,Après 2010,450.0,69008.0,28 Rue du Puisard 69008 Lyon
136,2024.0,neuf,151.7,39.8,C,Après 2010,332.0,69008.0,176 Route de Vienne 69008 Lyon
137,2024.0,neuf,216.1,62.9,C,Après 2010,444.7,69008.0,180 Route de Vienne 69008 Lyon
138,2024.0,neuf,198.8,79.4,B,Après 2010,471.5,69008.0,178 Route de Vienne 69008 Lyon
139,2024.0,neuf,222.3,62.7,C,Après 2010,493.7,69008.0,28 Rue du Puisard 69008 Lyon
140,2024.0,neuf,269.8,82.0,C,Après 2010,602.0,69008.0,26 Rue du Puisard 69008 Lyon
141,2024.0,neuf,2524.0,538.1,C,Après 2010,4805.0,69008.0,28 Rue du Puisard 69008 Lyon
142,2024.0,neuf,344.3,81.4,C,Après 2010,647.9,69008.0,26 Rue du Puisard 69008 Lyon
143,2024.0,neuf,160.6,46.7,C,Après 2010,337.9,69008.0,170 Route de Vienne 69008 Lyon
144,2024.0,neuf,226.8,43.8,C,Après 2010,452.6,69008.0,28 Rue du Puisard 69008 Lyon
145,2024.0,neuf,346.7,78.9,C,Après 2010,618.6,69008.0,176 Route de Vienne 69008 Lyon
146,2024.0,neuf,250.4,64.4,C,Après 2010,541.6,69008.0,26 Rue du Puisard 69008 Lyon
147,2024.0,neuf,430.6,84.6,C,Après 2010,768.7,69008.0,26 Rue du Puisard 69008 Lyon
148,2024.0,neuf,420.0,82.8,C,Après 2010,754.0,69008.0,26 Rue du Puisard 69008 Lyon
149,2024.0,neuf,314.0,60.5,C,Après 2010,580.8,69008.0,28 Rue du Puisard 69008 Lyon
150,2024.0,neuf,244.9,64.7,C,Après 2010,513.8,69008.0,26 Rue du Puisard 69008 Lyon
151,2024.0,neuf,103.7,40.5,C,Après 2010,295.4,69008.0,176 Route de Vienne 69008 Lyon
152,2024.0,neuf,183.9,62.9,C,Après 2010,412.6,69008.0,176 Route de Vienne 69008 Lyon
153,2024.0,neuf,156.1,40.5,C,Après 2010,347.8,69008.0,176 Route de Vienne 69008 Lyon
154,2024.0,neuf,284.9,62.2,C,Après 2010,555.3,69008.0,28 Rue du Puisard 69008 Lyon
155,2024.0,neuf,192.9,39.7,C,Après 2010,373.1,69008.0,180 Route de Vienne 69008 Lyon
156,2024.0,neuf,219.0,62.7,C,Après 2010,490.3,69008.0,28 Rue du Puisard 69008 Lyon
157,2024.0,neuf,155.0,62.9,B,Après 2010,361.6,69008.0,170 Route de Vienne 69008 Lyon
158,2024.0,neuf,242.0,82.8,B,Après 2010,481.8,69008.0,170 Route de Vienne 69008 Lyon
159,2024.0,neuf,218.9,62.6,C,Après 2010,490.2,69008.0,28 Rue du Puisard 69008 Lyon
160,2024.0,neuf,246.6,62.9,C,Après 2010,475.2,69008.0,180 Route de Vienne 69008 Lyon
161,2024.0,neuf,3069.0,1100.8,B,Après 2010,7684.0,69008.0,170 Route de Vienne 69008 Lyon
162,2024.0,neuf,424.6,82.8,C,Après 2010,758.6,69008.0,26 Rue du Puisard 69008 Lyon
163,2024.0,neuf,264.0,60.1,C,Après 2010,530.1,69008.0,28 Rue du Puisard 69008 Lyon
164,2024.0,neuf,183.9,62.9,C,Après 2010,412.6,69008.0,178 Route de Vienne 69008 Lyon
165,2024.0,neuf,137.2,40.5,C,Après 2010,328.8,69008.0,178 Route de Vienne 69008 Lyon
166,2024.0,neuf,151.7,39.8,C,Après 2010,332.0,69008.0,178 Route de Vienne 69008 Lyon
167,2024.0,neuf,148.0,59.1,B,Après 2010,348.2,69008.0,170 Route de Vienne 69008 Lyon
168,2024.0,neuf,105.5,40.4,C,Après 2010,268.0,69008.0,170 Route de Vienne 69008 Lyon
169,2024.0,neuf,277.9,62.2,C,Après 2010,548.3,69008.0,28 Rue du Puisard 69008 Lyon
170,2024.0,neuf,149.1,37.9,C,Après 2010,351.6,69008.0,26 Rue du Puisard 69008 Lyon
171,2024.0,neuf,172.4,39.8,C,Après 2010,352.6,69008.0,180 Route de Vienne 69008 Lyon
172,2024.0,neuf,155.4,62.9,B,Après 2010,361.9,69008.0,170 Route de Vienne 69008 Lyon
173,2024.0,neuf,161.2,47.0,C,Après 2010,339.1,69008.0,170 Route de Vienne 69008 Lyon
174,2024.0,neuf,224.2,43.8,C,Après 2010,450.0,69008.0,28 Rue du Puisard 69008 Lyon
175,2024.0,neuf,459.7,80.7,C,Après 2010,788.7,69008.0,26 Rue du Puisard 69008 Lyon
176,2024.0,neuf,91.7,40.5,C,Après 2010,283.3,69008.0,176 Route de Vienne 69008 Lyon
177,2024.0,neuf,206.4,60.3,C,Après 2010,408.5,69008.0,170 Route de Vienne 69008 Lyon
178,2024.0,neuf,198.8,79.4,B,Après 2010,471.5,69008.0,178 Route de Vienne 69008 Lyon
179,2024.0,neuf,147.8,59.2,B,Après 2010,348.1,69008.0,170 Route de Vienne 69008 Lyon
180,2024.0,neuf,147.9,59.2,B,Après 2010,348.2,69008.0,170 Route de Vienne 69008 Lyon
181,2024.0,neuf,242.0,82.8,B,Après 2010,481.8,69008.0,170 Route de Vienne 69008 Lyon
182,2024.0,neuf,299.9,64.7,C,Après 2010,568.9,69008.0,26 Rue du Puisard 69008 Lyon
183,2024.0,neuf,302.7,62.6,C,Après 2010,574.0,69008.0,28 Rue du Puisard 69008 Lyon
184,2024.0,neuf,151.7,39.8,C,Après 2010,332.0,69008.0,176 Route de Vienne 69008 Lyon
185,2024.0,neuf,278.0,62.2,C,Après 2010,548.5,69008.0,28 Rue du Puisard 69008 Lyon
186,2024.0,neuf,1693.0,409.0,C,Après 2010,3903.0,69008.0,28 Rue du Puisard 69008 Lyon
187,2024.0,neuf,149.2,40.5,C,Après 2010,340.8,69008.0,178 Route de Vienne 69008 Lyon
188,2024.0,neuf,360.4,100.8,C,Après 2010,673.5,69008.0,176 Route de Vienne 69008 Lyon
189,2024.0,neuf,174.0,42.7,C,Après 2010,390.8,69008.0,26 Rue du Puisard 69008 Lyon
190,2024.0,neuf,5354.0,1140.8,C,Après 2010,10886.0,69008.0,28 Rue du Puisard 69008 Lyon
191,2024.0,neuf,281.1,83.3,C,Après 2010,521.7,69008.0,170 Route de Vienne 69008 Lyon
192,2024.0,neuf,214.4,62.9,C,Après 2010,443.1,69008.0,180 Route de Vienne 69008 Lyon
193,2024.0,neuf,182.2,62.9,C,Après 2010,410.9,69008.0,178 Route de Vienne 69008 Lyon
194,2024.0,neuf,179.4,37.9,C,Après 2010,381.9,69008.0,26 Rue du Puisard 69008 Lyon
195,2024.0,neuf,212.1,75.4,B,Après 2010,439.6,69008.0,170 Route de Vienne 69008 Lyon
196,2024.0,neuf,183.9,62.9,C,Après 2010,412.6,69008.0,176 Route de Vienne 69008 Lyon
197,2024.0,neuf,154.5,62.6,B,Après 2010,360.6,69008.0,170 Route de Vienne 69008 Lyon
198,2024.0,neuf,226.0,41.0,C,Après 2010,443.3,69008.0,28 Rue du Puisard 69008 Lyon
199,2024.0,neuf,3362.0,993.6,C,Après 2010,7187.0,69008.0,180 Route de Vienne 69008 Lyon
200,2024.0,neuf,182.2,62.9,C,Après 2010,410.9,69008.0,176 Route de Vienne 69008 Lyon
201,2024.0,neuf,29.3,27.1,C,Après 2010,431.7,69008.0,170 Route de Vienne 69008 Lyon
202,2024.0,neuf,29.3,27.1,C,Après 2010,431.6,69008.0,170 Route de Vienne 69008 Lyon
203,2024.0,neuf,151.7,39.8,C,Après 2010,332.0,69008.0,180 Route de Vienne 69008 Lyon
204,2024.0,neuf,268.3,60.7,C,Après 2010,550.9,69008.0,26 Rue du Puisard 69008 Lyon
205,2024.0,neuf,27.9,32.6,C,Après 2010,542.7,69008.0,26 Rue du Puisard 69008 Lyon
206,2024.0,neuf,213.4,48.1,C,Après 2010,743.7,69008.0,272 Boulevard Pinel 69008 Lyon
207,2024.0,neuf,161.8,36.2,C,Après 2010,583.7,69008.0,272 Boulevard Pinel 69008 Lyon
208,2024.0,neuf,233.0,36.1,C,Après 2010,654.5,69008.0,272 Boulevard Pinel 69008 Lyon
209,2024.0,neuf,211.9,29.3,D,Après 2010,673.1,69008.0,70 Rue Bataille 69008 Lyon
210,2024.0,neuf,222.9,45.3,C,Après 2010,736.0,69008.0,272 Boulevard Pinel 69008 Lyon
211,2024.0,neuf,213.4,48.1,C,Après 2010,743.7,69008.0,272 Boulevard Pinel 69008 Lyon
212,2024.0,neuf,269.8,32.5,D,Après 2010,753.2,69008.0,70 Rue Bataille 69008 Lyon
213,2024.0,neuf,161.8,36.2,C,Après 2010,583.7,69008.0,272 Boulevard Pinel 69008 Lyon
214,2024.0,neuf,221.4,30.0,D,Après 2010,687.9,69008.0,70 Rue Bataille 69008 Lyon
215,2024.0,neuf,260.6,33.3,C,Après 2010,750.1,69008.0,70 Rue Bataille 69008 Lyon
216,2024.0,neuf,176.6,36.2,C,Après 2010,598.5,69008.0,272 Boulevard Pinel 69008 Lyon
217,2024.0,neuf,223.9,61.6,C,Après 2010,535.5,69008.0,72 Rue Bataille 69008 Lyon
218,2024.0,neuf,297.5,61.7,C,Après 2010,604.2,69008.0,74 Rue Bataille 69008 Lyon
219,2024.0,neuf,452.5,88.6,C,Après 2010,723.8,69008.0,70 Rue Bataille 69008 Lyon
220,2024.0,neuf,80.0,22.3,C,Après 2010,196.5,69008.0,Avenue Jean Mermoz 69008 Lyon
221,2024.0,neuf,163.0,44.7,C,Après 2010,344.4,69008.0,Rue Général André 69008 Lyon
222,2024.0,neuf,211.6,43.0,C,Après 2010,393.0,69008.0,70 Rue Bataille 69008 Lyon
223,2024.0,neuf,284.5,78.8,C,Après 2010,636.5,69008.0,72 Rue Bataille 69008 Lyon
224,2024.0,neuf,309.0,91.1,C,Après 2010,587.9,69008.0,Avenue Jean Mermoz 69008 Lyon
225,2024.0,neuf,195.4,44.1,C,Après 2010,379.7,69008.0,70 Rue Bataille 69008 Lyon
226,2024.0,neuf,399.3,93.4,C,Après 2010,679.5,69008.0,70 Rue Bataille 69008 Lyon
227,2024.0,neuf,183.6,71.0,B,Après 2010,563.9,69008.0,Rue Berthe Morisot 69008 Lyon
228,2024.0,neuf,236.8,42.3,C,Après 2010,490.6,69008.0,74 Rue Bataille 69008 Lyon
229,2024.0,neuf,162.9,43.2,C,Après 2010,349.2,69008.0,Avenue Jean Mermoz 69008 Lyon
230,2024.0,neuf,232.4,65.0,C,Après 2010,552.0,69008.0,72 Rue Bataille 69008 Lyon
231,2024.0,neuf,456.2,69.3,C,Après 2010,684.9,69008.0,Rue Général André 69008 Lyon
232,2024.0,neuf,738.6,118.1,C,Après 2010,1174.4,69008.0,74 Rue Bataille 69008 Lyon
233,2024.0,neuf,161.7,59.6,C,Après 2010,383.1,69008.0,Avenue Jean Mermoz 69008 Lyon
234,2024.0,neuf,299.5,61.9,C,Après 2010,515.2,69008.0,Rue Général André 69008 Lyon
235,2024.0,neuf,294.6,64.0,C,Après 2010,614.2,69008.0,76 Rue Bataille 69008 Lyon
236,2024.0,neuf,312.3,67.9,C,Après 2010,545.1,69008.0,70 Rue Bataille 69008 Lyon
237,2024.0,neuf,325.6,68.0,C,Après 2010,552.0,69008.0,Rue Général André 69008 Lyon
238,2024.0,neuf,285.0,79.0,C,Après 2010,637.3,69008.0,72 Rue Bataille 69008 Lyon
239,2024.0,neuf,333.9,77.5,C,Après 2010,685.4,69008.0,76 Rue Bataille 69008 Lyon
240,2024.0,neuf,251.9,77.5,C,Après 2010,497.0,69008.0,274 Boulevard Pinel 69008 Lyon
241,2024.0,neuf,340.9,64.9,C,Après 2010,592.0,69008.0,272 Boulevard Pinel 69008 Lyon
242,2024.0,neuf,279.4,65.5,C,Après 2010,507.7,69008.0,70 Rue Bataille 69008 Lyon
243,2024.0,neuf,290.4,64.6,C,Après 2010,542.9,69008.0,272 Boulevard Pinel 69008 Lyon
244,2024.0,neuf,563.5,86.1,C,Après 2010,935.6,69008.0,76 Rue Bataille 69008 Lyon
245,2024.0,neuf,280.9,66.5,C,Après 2010,604.0,69008.0,72 Rue Bataille 69008 Lyon
246,2024.0,neuf,309.5,45.6,C,Après 2010,493.3,69008.0,Rue Général André 69008 Lyon
247,2024.0,neuf,276.6,60.0,C,Après 2010,579.6,69008.0,74 Rue Bataille 69008 Lyon
248,2024.0,neuf,224.3,41.4,C,Après 2010,389.6,69008.0,274 Boulevard Pinel 69008 Lyon
249,2024.0,neuf,182.8,41.8,C,Après 2010,361.2,69008.0,70 Rue Bataille 69008 Lyon
250,2024.0,neuf,213.4,42.3,C,Après 2010,467.4,69008.0,74 Rue Bataille 69008 Lyon
251,2024.0,neuf,466.6,109.4,C,Après 2010,776.5,69008.0,70 Rue Bataille 69008 Lyon
252,2024.0,neuf,192.0,61.2,C,Après 2010,502.8,69008.0,72 Rue Bataille 69008 Lyon
253,2024.0,neuf,177.6,45.2,C,Après 2010,445.3,69008.0,72 Rue Bataille 69008 Lyon
254,2024.0,neuf,350.3,68.4,C,Après 2010,577.5,69008.0,Rue Général André 69008 Lyon
255,2024.0,neuf,298.9,61.0,C,Après 2010,611.3,69008.0,76 Rue Bataille 69008 Lyon
256,2024.0,neuf,187.9,63.8,C,Après 2010,391.2,69008.0,Avenue Jean Mermoz 69008 Lyon
257,2024.0,neuf,272.5,64.0,C,Après 2010,592.1,69008.0,76 Rue Bataille 69008 Lyon
